patent_number	patent_title	patent_abstract
5501966	Pseudomonas aeruginosa and its use in a process for the biotechnological preparation of L-rhamnose	Pseudomonas aeruginosa and its use in a process for the biotechnological production of L-rhamnose Bacterial strains are capable of the formation of rhamnolipids, which they generate in the culture solution. If bacteria of the type Pseudomonas aeruginosa are employed for the fermentation, these microorganisms synthesize rhamnolipids in a concentration of 70-120 g/l of culture solution. The L-rhamnose can be recovered directly from the culture solution by hydrolysis of the rhamnolipids, i.e. without a complicated separation of the cell material and without isolation of the rhamnolipids before hydrolysis.
5508193	Pseudomonas strain for degradation of s-triazines in soil and water	A method for degradation of s-triazine compounds, including atrazine, which utilizes an atrazine degrading Pseudomonas (ADP) bacterium and its enzymes is provided. ADP was isolated from atrazine-contaminated soil and is phylogenetically close to P. aeruginosa and P. citronellolis. When ADP is cultivated on atrazine medium, it produces enzymes that can completely degrade atrazine to yield CO.sub.2 from ring carbons.
5521085	Transformed cell lines producing human monoclonal antibodies specific for Pseudomonas aeruginosa serotypes	The present invention relates to human monoclonal antibodies capable of plurally binding with O-antigens of Pseudomonas aeruginosa, relates to novel parent cell lines for producing human hybridomas derived from human immunoglobulin synthesizing cells, which cell lines themselves incapable of producing human immunoglobulin and capable of fusing with human antibody-producing cells, relates to human-human hybridomas which can secrete monoclonal antibodies capable of binding with at least one of serotypes of Pseudomonas aeruginosa, relates to pharmaceutical compositions for prophylaxis or therapy of Pseudomonas aeruginosa infectious diseases, and relates to prophylactic or therapeutic methods for Pseudomonas aeruginosa infectious diseases.
5550223	Lipoprotein I (ompi) of pseudomonas aeruginosa	The gene for the outer membrane protein lipoprotein I (OMPI) of Pseudomonas aeruginosa ATCC 33354 has been sequenced, and the amino acid sequence has been deduced. This makes it possible to obtain this protein and immunogenic part-sequences thereof in the quantity and purity necessary for use for the preparation of vaccines.
5559224	Carbepenem derivatives	Carbapenem derivatives which may be utilized as antibiotics and which show strong antibacterial activity against various bacterial strains including Pseudomonas aeruginosa. The compounds containing the derivatives are quite safe and are also stable against hydrolases such as dehyropeptidase (DHP).
5573910	Detection of conversion to mucoidy in Pseudomonas aeruginosa infecting cystic fibrosis patients involving the algu gene	Compositions and methods for detecting the conversion to mucoidy in Pseudomonas aeruginosa are disclosed. Mucoidy is a critical P. aeruginosa virulence factor in cystic fibrosis that has been associated with biofilm develoment and resistance to phagocytosis. The present invention provides for detecting the switch from nonmucoid to mucoid state as caused by the interaction of the algU gene product, algU, with RNA polymerase. Inactivation of algU results in a loss of expression of genes, such as algD, dependent on algU for transcription. Also disclosed is a novel alginate biosynthesis heterologous expression system for use in screening candidate substances that inhibit conversion to mucoidy by inhibiting the interaction of algU with the RNA polymerase holoenzyme.
5580897	1,2-dithiins having antifungal activity	Novel 1,2-dithiin compounds useful as antifungal or anti-infective agents, as well as methods for their use as such, are described. The 1,2-dithiin compounds are particularly effective in treating infections, especially those caused by Candida albicans, Cryptococcus neoformans, Aspergillus fumigatus, Candida krusei, Candida parapsilosis, Candida tropicalis, Trichophyton rubrum, Epidermophyton species, Microsporum species, Sporothrix species, Blastomyces dermatitidis, Coccidiodes immiitis, Histoplasma capsulatum, Herpes virus, Influenza virus, Cytomegalovirus, human immunodeficiency virus, retrovirus, Adenovirus, Papillomavirus, Paravirus, Arenavirus, Bunyavirus, Coronavirus, Paramyxovirus, Picornavirus, Rhabdlovirus, Togavirus, Hepadnavirus, Staphylococcus aureus, Streptococcus faecalis, Escherichia coli, Pseudomonas aeruginosa, Enterobacter aerogenes, Klebsiella pneumoniae, Staphylococcus epidermis, Zanthomonus maltrophilia, Acinetobacter, Enterobacter cloacae, Serratia marscens, Listeria, Monocytogenes, Enterococcus faecalis, Streptococcus pyogenes; Straptococcus pneumonia, Viridans streptococci, Haemophilus influenzae, Proteus mirabilis, proteus vulgaris and Bacterioides fragilis.
5591838	Detection of conversion to mucoidy in pseudomonas aeruginosa infecting cystic fibrosis patients	Compositions and methods for detecting the conversion to mucoidy in Pseudomonas aeruginosa are disclosed. Chronic respiratory infections with mucoid Pseudomonas aeruginosa are the leading cause of high mortality and morbidity in cystic fibrosis. The initially colonizing strains are nonmucoid but in the cystic fibrosis lung they invariably convert into the mucoid form causing further disease deterioration and poor prognosis. The molecular basis of this conversion to mucoidy is also disclosed. The algU gene encodes a protein homologous to an alternative sigma factor regulating sporulation and other developmental processes in Bacillus, and along with the negative regulators mucA and mucB comprises the gene cluster controlling conversion to mucoidy. The switch from nonmucoid to mucoid state is caused by frameshift deletions and duplications in the second gene of the cluster, mucA. Inactivation of mucA results in constitutive expression of genes, such as algD, dependent on algU for transcription. Insertional inactivation of mucB on the chromosome of the standard genetic strain PAO also resulted in mucoid phenotype, and in a strong transcriptional activation of algD. Activation of algD results in increased synthesis of the exopolysaccharide alginate rendering P. aeruginosaa mucoid.
5591872	Autoinducer molecule	Autoinducer molecules, e.g., N-(3-oxododecanoyl)homoserine lactone, for Pseudomonas aeruginosa are described. The molecules regulate gene expression in the bacterium. Therapeutic compositions and therapeutic methods involving analogs and/or inhibitors of the autoinducer molecules also are described. The molecules are useful for treating or preventing infection by Pseudomonas aeruginosa.
5599665	Pseudomonas aeruginosa nucleic acids encoding exoenzyme S activity and use thereof in detecting pseudomonas aeruginosa infection	A genetic construct containing a coding region for exoenzyme S activity from Pseudomonas aeruginosa is disclosed. A essentially pure protein preparation of the 49 kDa form of exoenzyme S is also disclosed. The protein product of the genetic construct may be used to modify the RAS protein function in mammalian carcinomas, used as a vaccine, or used to diagnose Pseudomonas aeruginosa infection.
5627067	Monoclonal antibodies cross-reactive and cross-protective against human monoclonal antibodies against pseudomonas aeruginosa serotypes	Cell lines have been produced that secrete human monclonal antibodies capable of binding to the lipopolysaccharide molecules of selected Pseudomonas aeruginosa IATS serotypes. Pharmaceutical compositions containing these antibodies, which can be in combination with other monoclonal antibodies, blood plasma fractions and antimicrobial agents, and the prophylactic and therapeutic use of such compositions in the management of infections are included. Prior to filing of this patent application the continuous transformed human cell lines 1C1, 6D6, and 8H7 described herein were deposited in the American Type Culture Collection and given the designations CRL 8941, 9171, and 9258, respectively.
5628996	Method for inhibiting the viability of Pseudomonas aeruginosa with cross-reactive and cross-protective monoclonal antibodies	Cell lines have been produced that secrete human monclonal antibodies capable of binding to the lipopolysaccharide molecules of selected Pseudomonas aeruginosa IATS serotypes. Pharmaceutical compositions containing these antibodies, which can be in combination with other monoclonal antibodies, blood plasma fractions and antimicrobial agents, and the prophylactic and therapeutic use of such compositions in the management of infections are included.
5635184	Essential oil composition with bactericide activity	The present invention relates with a bacterial composition comprising an effective amount of an essential oil distilled from a resinous tree preferably Schinus Molle L. Pseudomonas aeruginosa and Staphylococcus aureus are killed by the composition.
5648354	1,2-dithiins having antifungal activity	Novel 1,2-dithiin compounds useful as antifungal or anti-infective agents, as well as methods for their use as such, are described. The 1,2-dithiin compounds are particularly effective in treating infections, especially those caused by Candida albicans, Cryptococcus neoformans, Aspergillus fumigatus, Candida krusei, Candida parapsilosis, Candida tropicalis, Trichophyton rubrum, Epidermophyton species, Microsporum species, Sporothrix species, Blastomyces dermatitidis, Coccidiodes immiitis, Histoplasma capsulatum, Herpes virus, Influenza virus, Cytomegalovirus, human immunodeficiency virus, retrovirus, Adenovirus, Papillomavirus, Paravirus, Arenavirus, Bunyavirus, Coronavirus, Paramyxovirus, Picornavirus, Rhabdovirus, Togavirus, Hepadnavirus, Staphylococcus aureus, Streptococcus faecalis, Escherichia coli, Pseudomonas aeruginosa, Enterobacter aerogenes, Klebsiella pneumoniae, Staphylococcus epidermis, Zanthomonus maltrophilia, Acinetobacter, Enterobacter cloacae, Serratia marscens, Listeria, Monocytogenes, Enterococcus faecalis, Streptococcus pyogenes; Streptococcus pneumonia, Viridans streptococci, Haemophilus influenzae, Proteus mirabills, Proteus vulgaris and Bacterioides fragilis.
5656169	Biodegradation process for de-toxifying liquid streams	A biological degradation process is disclosed. The biological gradation process utilizes a unique thermophilic aerobic bacterial mixture capable of converting, biologically or via oxidation, aqueous and other liquid streams containing substances that are ordinarily considered toxic to conventional biological systems. Substances ordinarily considered toxic to conventional biological systems, but which nevertheless are converted by the thermophilic aerobic bacterial mixture, include aniline; benzothiazole; 5,6-dihydro-2-methyl-N-phenyl-1,4-oxathiin-3-carboxamide; lindane (technically known as 1.alpha.,2.alpha.,3.beta.,4.alpha.,5.alpha.,6.beta.-hexachlorocyclohexane) ; 2-mercaptobenzothiazole; toluene; and combinations thereof. The unique thermophilic aerobic bacterial mixture comprises relative effective amounts of Pseudomonas stutzeri, Pseudomonas aeruginosa, Pseudomonas fluorescens, Pseudomonas mendocina and Alcaligenes denitrificans subsp. xylosoxydans. A biological degradation process for treating the liquid stream containing substances ordinarily considered toxic comprises contacting the stream with the thermophilic aerobic bacterial mixture, for an amount of time that is effective for de-toxifying the stream.
5658793	Pseudomonas aeruginosa and its use in a process for the biotechnological preparation of L-rhamnose	Bacterial strains are capable of the formation of rhamnolipids, which they generate in the culture solution. If bacteria of the type Pseudomonas aeruginosa are employed for the fermentation, these microorganisms synthesize rhamnolipids in a concentration of 70-120 g/l of culture solution. The L-rhamnose can be recovered directly from the culture solution by hydrolysis of the rhamnolipids, i.e. without a complicated separation of the cell material and without isolation of the rhamnolipids before hydrolysis.
5662905	Monoclonal antibody compositions cross-reactive and cross-protective against P. aeruginosa serotypes	Cell lines have been produced that secrete human monoclonal antibodies capable of binding to the lipopolysaccharide molecules of selected Pseudomonas aeruginosa IATS serotypes. Pharmaceutical compositions containing these antibodies, which can be in combination with other monoclonal antibodies, blood plasma fractions and antimicrobial agents, and the prophylactic and therapeutic use of such compositions in the management of infections are included. Prior to filing of this patent application the continuous transformed human cell lines 1C1, 6D6 and 8H7 described herein were deposited in the American Type Culture Collection and given the designations CRL 8941, 9171, and 9258, respectively.
5716829	Diagnostic test for Pseudomonas aeruginosa infections	Methods and reagents are provided for a novel immunodiagnostic test for the presence of P. aeruginosa in a biological sample. Monoclonal antibodies are employed which bind to an outer membrane protein antigen, which may be exposed by a solubilizing reagent. The antibody binds substantially all strains of P. aeruginosa. No cross-reactivity with other species of Pseudomonas or with other clinically significant gram-negative or gram-positive species is observed. Conjugating the monoclonal antibody of the invention with a fluorescent label provides for a rapid and sensitive direct immunofluorescent test for P. aeruginosa.
5762928	Biocontrol agent for green mold disease of mushrooms	A biological control agent for controlling green mold disease caused by the fungus Trichoderma harzianum. An effective amount of a composition comprising Pseudomonas aeruginosa and mutants thereof which retain the characteristic of preventing green mold growth is applied to compost, spawn, or supplement, to prevent or inhibit the growth of green mold.
5767068	Pure biologically active colistin, its components and a colistin formulation for treatment of pulmonary infections	An anti-Pseudomonas aeruginosa agent which is substantially pure biologically active colistin, its component, a mixture thereof or a pharmaceutically acceptable salt thereof delivered as an aerosol or dry powder formulation. A formulation and method for preparation of substantially pure biologically active colistin, its components, mixtures thereof and a pharmaceutically acceptable salts thereof. A method for treatment and prophylaxis of Pseudomonas aeruginosa, Stenotrophomonas maltophilia or other susceptible pulmonary bacterial infections.
5798211	Probe for diagnosing Pseudomonas aeruginosa	DNA probes for diagnosing infectious diseases involving Pseudomonas aeruginosa and methods of using such probes are provided.
5798336	Antimicrobial peptides	Peptides which exhibit antimicrobial activity comparable to certain known antibiotics are provided. These peptides are related in sequence to amino acid sequences within Cathepsin G. A broad spectrum bactericidal peptide disclosed herein is RPGTLCTVAGWGRVSMRRGT (SEQ ID NO:22). It is active against Pseudomonas aeruginosa, Neisseria gonorrhoeae and Staphylococcus aureus. RRENTQQHITARRAIRHPQY (SEQ ID NO:19) and GKSSGVPPEVFTRFVSSFLPWIRTTMR (SEQ ID NO:26) also exhibited potent activity against P. aeruginosa strains, including clinical isolates. IIGGR (SEQ ID NO:1) and IVGGR (SEQ ID NO:2) act against both gram-negative and gram-positive bacterial strains. HPQYNQR (SEQ ID NO:3) and certain related peptides are also active against both gram-negative and gram-positive bacteria, including, but not limited to, strains of Escherichia coli, Neisseria gonorrhoeae, Staphylococcus aureus, Capnocytophage sputigena and Pseudomonas aeruginosa. The peptides of the present invention will be useful in pharmaceutical compositions useful in the treatment of prophylaxis of infections.
5861163	Process for preparing a vaccine against pseudomonas aeruginosa using attenuated strains	The present invention relates to a vaccine prepared from an attenuated Pseudomonas aeruginosa strains which are obtained by isolating Pseudomonas aeruginosa in a pure state according to the Fisher-Devlin immunotype and then repeatedly purifying the isolated strain, particularly CFCPA 10142 (KCCM 10029), CFCPA 20215 (KCCM 10030), CFCPA 30720 (KCCM 10031), CFCPA 40057 (KCCM 10032), CFCPA 50243 (KCCM 10033), CFCPA 60534 (KCCM 10034) and CFCPA 70018 (KCCM 10035) strains. In addition, the present invention relates to a process for preparing the vaccine for immunization against Pseudomonas aeruginosa infection which contains cell wall proteins having molecular weights ranging from 10,000 to 100,000. The cell wall protein component of the attenuated strain is non-pathogenic and safe, and exhibits excellent antibody formation capacity and is useful for preparation of a vaccine and therapeutic agent. The cell wall proteins exhibit an excellent cross-protective efficacy for various Pseudomonas aeruginosa strains and a superior antibody inducing property.
5866376	Production of oily emulsions mediated by a microbial tenso-active agent	The present invention is directed to biosurfactant stabilized emulsions of high viscosity hydrocarbons such as high viscosity crude oil wherein the biosurfactant is a metabolite of Pseudomonas aeruginosa (USB-CS1) and two methods for making the same. Preferably, the viscosity of the biosurfactant stabilized emulsions is below about 500 centipoise and, more preferably, below about 100 centipoise at ambient temperatures.
5886329	Antibiotic microwave oven	An antibiotic microwave oven for cooking a foodstuff within its cooking chamber utilizing high frequency energy, including an antibiotic layer provided to the cooking chamber for killing bacteria bred within the cooking chamber contaminated by the foodstuff being cooked and for preventing the propagation of harmful microbes. The antibiotic layer is formed of zeolite-Ag, thus killing escherichia coli, salmonella typhimurium, pseudomonas aeruginosa, and bacillus alvei.
5948815	Methods for inhibiting bacterial cytotoxicity	The invention provides methods and compositions for reducing microbial cytotoxicity to a cell, by contacting a cell subject to extracellular microbial cytotoxicity with an effective amount of at least one of genistein or a genistein derivative. In preferred embodiments, the microbe is a gram-negative bacterium, a non-Enterobacteriaceae or a Pseudomonas aeruginosa or cepacia and the host cell is a mammalian epithelial cell, especially a lung epithelial cell or a corneal epithelial cell. The genistein or genistein derivative may be administered prophylactically prior to infection, subsequent thereto and/or in conjunction with conventional antibiotic therapies.
5952188	Reusable immobilized microbial composition useful as ready-to-use seed inoculum in BOD analysis	A reusable immobilized microbial composition is formulated. The formulated microbial composition comprises a synergistic mixture of the bacterial strains of Enterobacter cloaca, Citrobacter amalonaticus, Pseudomonas aeruginosa,Yersinia enterocolitica, Klebsiella oxytoca, Enterobacter sakazaki and Serratia liquefaciens. The formulated microbial composition is immobilized on an appropriate immobilizing agent to form beads. The said beads are tested as microbial seeding material for BOD analysis using Glucose Glutamic Acid (GGA) as a reference standard. The obtained BOD values by the formulated beads are compared with BOD values obtained by sewage as seeding material using synthetic samples as well as industrial effluents. The formulated microbial beads are ready-to-use as well as reusable seeding material in BOD analysis. The said beads can be reused up to five times with same efficacy.
5955090	Immunogenic hybrid protein OprF-OprI derived from Pseudomonas aeruginosa membrane proteins	The present invention relates to a hybrid protein comprising the Pseudomonas aeruginosa outer membrane protein I (OprI) which is fused with its amino terminal end to the carboxy-terminal end of a carboxy-terminal portion of the Pseudomonas aeruginosa outer membrane protein F (OprF), as well as to monoclonal or polyclonal antibodies against this hybrid protein. Both, the hybrid protein and the antibodies directed to the hybrid protein confer protection against an infection by Pseudomonas aeruginosa to laboratory animals or man.
5981519	Vinyl-pyrrolidinone cephalosporins	The present invention relates to compounds having the formula ##STR1## wherein X, R.sup.1, R.sup.2, R.sup.3, R.sup.4, R.sup.5, R.sup.6, and R.sup.7 are as defined herein as well as readily hydrolyzable esters thereof, pharmaceutically acceptable salts of said compounds and hydrates of the compounds of formula I and of their esters and salts. These compounds have valuable pharmacological activity for the treatment and prophylaxis of infectious diseases, especially those caused by methicillin resistant Staphylococcus aureus (MRSA) and Pseudomonas aeruginosa.
5990101	Carbapenem derivatives	Novel carbapenem derivatives, represented by the following formula (I), having a substituted or unsubstituted imidazo[5,1-b]thiazolium-6-ylmethyl group at the 2-position are disclosed. The compounds represented by the formula (I) have potent antibacterial activity against a wide spectrum of bacteria from Gram-positive bacteria to Gram-negative bacteria including Pseudomonas aeruginosa and, in addition, have potent antibacterial activity against various .beta.-lactamase-producing bacteria and MRSA and are very stable against DHP-1. ##STR1##
5990266	Degradable polyesters, a mixed culture of microorganisms for degrading these polyesters, and methods for making these substances	Degradable polyesters useful in packaging, packing, agricultural, biomedical, and other applications are made by reacting amine-protected glutamic acid with diols or epoxy compounds. The polyesters include a thermoplastic main chain aliphatic polyester, a thermoset heterochain polyester and a thermoset heterochain aromatic polyester. Each of these polyesters can be hydrolyzed into monomers using a biological catalyst such as the enzyme lipase. The thermoplastic main chain aliphatic polyester and the thermoset heterochain polyester can be degraded to respiratory gases and biomass with a mixed culture of Rhizopus, chinesis, Rhizopus delemar, Penecillium pinophilum, Aspergillus niger and Pseudomonas aeruginosa microorganisms. This mixed culture of microorganisms can also be used to degrade other polyesters containing hydrolyzable backbone polyesters.
5994066	Species-specific and universal DNA probes and amplification primers to rapidly detect and identify common bacterial pathogens and associated antibiotic resistance genes from clinical specimens for routine diagnosis in microbiology laboratories	The present invention relates to a method for universal detection of bacteria in biological samples and for specific detection of Escherichia coli, Klebsiella pneumoniae, Enterococcus faecalis, Pseudomonas aeruginosa, Proteus mirabilis, Staphylococcus saprophyticus, Streptococcus pneumoniae, Moraxella catarrhalis and Haemophilus influenzae in urine or any other biological samples, said method comprising denaturation of bacterial DNA to single stranded form and either fixing it on a support or leaving it in solution, contacting said single stranded genetic material with a labeled probe selected from the group consisting of i) fragments of chromosomal DNA of the above-mentioned bacteria and ii) synthetic oligonucleotides whose sequences are derived either from the said fragments of chromosomal DNAs or from sequences available in data banks, all (i and ii) probes being capable to hybridize specifically to their chromosomal DNA or, in case of universal probes, to any bacterial chromosomal DNA.
6001564	Species specific and universal DNA probes and amplification primers to rapidly detect and identify common bacterial pathogens and associated antibiotic resistance genes from clinical specimens for routine diagnosis in microbiology laboratories	The present invention relates to DNA-based methods for universal bacterial detection, for specific detection of the common bacterial pathogens Escherichia coli, Klebsiella pneumoniae, Pseudomonas aeruginosa, Proteus mirabilis, Streptococcus pneumoniae, Staphylococcus aureus, Staphylococcus epidermidis, Enterococcus faecalis, Staphylococcus saprophyticus, Streptococcus pyogenes, Haemophilus influenzae and Moraxella catarrhalis as well as for specific detection of commonly encountered and clinically relevant bacterial antibiotic resistance genes directly from clinical specimens or, alternatively, from a bacterial colony. The above bacterial species can account for as much as 80% of bacterial pathogens isolated in routine microbiology laboratories.
6019905	Process for sanitizing chlorinated water	A method for providing an active sanitized aqueous medium in a dental treatment operation. A chlorinated water supply is treated with a physiologically-safe acidifier to provide a substantially enhanced hypochlorous acid concentration. The water is treated to convert the hypochlorite ion into the much more bacteriocidal undisassociated hypochlorous acid. A reservoir is provided at a suitable location, such as a dental treatment station. Potable water from a suitable source is supplied to the reservoir. The potable water contains free chlorine in an amount of at least 0.1 ppm. The water in the reservoir is treated with a physiologically-safe acidifier selected from the group consisting of inorganic acids, organic acids, and acid esters which have GRAS status. The acidifier is incorporated into the water within the reservoir in an amount sufficient to reduce the pH of the water to a value of about 4 or less to provide a substantially enhanced hypochlorous acid content to eliminate the viability of a mature biofilm produced by the bacteria Pseudomonas aeruginosa. A stream of water is delivered to a dental unit used in dental treatment from a source of potable water containing free chlorine in an amount of about 0.1 ppm or above. A physiologically-safe acidifier having GRAS status is incorporated into the water delivered to the dental unit in an amount to reduce the pH of the water delivered to the dental unit to a value of about 4 or less.
6057288	Autoinducer molecule	Autoinducer molecules, e.g., N-(3-oxododecanoyl)homoserine lactone, for Pseudomonas aeruginosa are described. The molecules regulate gene expression in the bacterium. Therapeutic compositions and therapeutic methods involving analogs and/or inhibitors of the autoinducer molecules also are described. The molecules are useful for treating or preventing infection by Pseudomonas aeruginosa.
6060287	Production of oily emulsions mediated by a microbial tenso-active agent	The present invention is directed to methods for preparing biosurfactants for use in stabilizing emulsions of high viscosity hydrocarbons such as high viscosity crude oil wherein the biosurfactant is a metabolite of Pseudomonas Aeruginosa (USB-CS1). The resulting biosurfactant can be used to produce stabilized emulsions having a viscosity of below about 500 centipoise and, more preferably, below about 100 centipoise at ambient temperatures.
6083691	Detection of conversion to mucoidy in Pseudomonas aeruginosa infecting cystic fibrosis patients	Compositions and methods for detecting the conversion to mucoidy in Pseudomonas aeruginosa are disclosed. Chronic respiratory infections with mucoid Pseudomonas aeruginosa are the leading cause of high mortality and morbidity in cystic fibrosis. The initially colonizing strains are nonmucoid but in the cystic fibrosis lung they invariably convert into the mucoid form causing further disease deterioration and poor prognosis. Mucoidy is a critical P. aeruginosa virulence factor in cystic fibrosis that has been associated with biofilm development and resistance to phagocytosis. The molecular basis of this conversion to mucoidy is also disclosed. The present invention provides for detecting the switch from nonmucoid to mucoid state as caused by either frameshift deletions and duplications or nonsense changes in the second gene of the cluster, mucA. Inactivation of mucA results in constitutive expression of genes, such as algD, dependent on algU for transcription. Also disclosed is a novel alginate biosynthesis heterologous expression system for use in screening candidate substances that inhibit conversion to mucoidy.
6121033	Degradable polyesters, a mixed culture of microorganisms for degrading these polyesters, and methods for making these substances	Degradable polyesters useful in packaging, packing, agricultural, biomedical, and other applications are made by reacting amine-protected glutamic acid with diols or epoxy compounds. The polyesters include a thermoplastic main chain aliphatic polyester, a thermoset heterochain polyester and a thermoset heterochain aromatic polyester. Each of these polyesters can be hydrolyzed into monomers using a biological catalyst such as the enzyme lipase. The thermoplastic main chain aliphatic polyester and the thermoset heterochain polyester can be degraded to respiratory gases and biomass with a mixed culture of Rhizopus chinesis, Rhizopus delemar, Penecillium pinophilum, Aspergillus niger and Pseudomonas aeruginosa microorganisms. This mixed culture of microorganisms can also be used to degrade other polyesters containing hydrolyzable backbone polyesters.
6180622	Imidazo[5,1-b]thiazol-3-yl carbapenem antimicrobials	Compounds of formula (I) and compounds of formula (II) which have potent antimicrobial activity against a wide range of bacteria including Gram-positive bacteria and Gram-negative bacteria as well as heve potent antimicrobial activity against various .beta.-lactamase-producing bacteria, MRSA, and resistant Pseudomonas aeruginosa and are very stable against DHP-1. ##STR1##
6191176	Degradable polyesters, a mixed culture of microorganisms for degrading these polyesters, and methods for making these substances	Degradable polyesters useful in packaging, packing, agricultural, biomedical, and other applications are made by reacting amine-protected glutamic acid with diols or epoxy compounds. The polyesters include a thermoplastic main chain aliphatic polyester, a thermoset heterochain polyester and a thermoset heterochain aromatic polyester. Each of these polyesters can be hydrolyzed into monomers using a biological catalyst such as the enzyme lipase. The thermoplastic main chain aliphatic polyester and the thermoset heterochain polyester can be degraded to respiratory gases and biomass with a mixed culture of Rhizopus chinesis, Rhizopus delemar, Penecillium pinophilum, Aspergillus niger and Pseudomonas aeruginosa microorganisms. This mixed culture of microorganisms can also be used to degrade other polyesters containing hydrolyzable backbone polyesters.
6197814	Disinfectant and method of making	A non-toxic environmentally friendly aqueous disinfectant is disclosed for specific use as prevention against contamination by potentially pathogenic bacteria and virus. The aqueous disinfectant is formulated by electrolytically generating silver ions in water in combination with a citric acid. The aqueous disinfectant may include a suitable alcohol and/or a detergent. The aqueous disinfectant has been shown to be very effective at eliminating standard indicator organisms such as staphylococcus aureus, samonella cholerasuis and Pseudomonas aeruginosa.
6242437	Cephem derivatives	A compound represented by the following formula (I) is disclosed. This compound has potent antimicrobial activity against a wide spectrum of bacteria from Gram-positive bacteria to Grame-negative bacteria including .beta.-lactamase producing bacteria. In particular, it has higher antimicrobial activity against methicilline-resistant Staphylococcus aureus (MRSA), penicillin-resistant Streptococcus pneumoniae (PRSP), and imipenem-resistant Pseudomonas aeruginosa than the existing onium salt type cephem derivatives and hence is very useful as a therapeutic agent for infectious diseases derived from various pathogenic bacteria. ##STR1## wherein X represents CH or N, R.sup.1 represents a hydrogen atom, substituted or unsubstituted C.sub.1-6 alkyl, C.sub.2-6 alkenyl, C.sub.2-6 alkynyl, or cycloalkyl; any one of R.sup.2, R.sup.3, R.sup.4, and R.sup.5 represents R.sup.6 R.sup.7 NSO.sub.2 NH--C.sub.1-6 alkyl where R.sup.6 and R.sup.7, which may be the same or different, represent a hydrogen atom or C.sub.1-6 alkyl; and n is 0 or 1.
6300102	Immunogenic hybrid protein OprF-Oprl derived from Pseudomonas aeruginosa membrane proteins	The present invention relates to a hybrid protein comprising the Pseudomonas aeruginosa outer membrane protein I (OprI) which is fused with its amino terminal end to the carboxy-terminal end of a carboxy-terminal portion of the Pseudomonas aeruginosa outer membrane protein F (OprF), as well as to monoclonal or polyclonal antibodies against this hybrid protein. Both, the hybrid protein and the antibodies directed to the hybrid protein confer protection against an infection by Pseudomonas aeruginosa to laboratory animals or man.
6300121	Method for reducing bioavailability of lead by a lead-sequestering soil bacterium	Bioavailability of lead and other heavy metals in the environment may be reduced by addition of microorganisms which sequester lead from the environment in the presence of phosphate. The microorganisms are highly mobile and are, therefore, capable of scavenging a material for lead, which they then sequester. The method basically consists of reducing bioavailability of lead in the environment by addition of Pseudomonas aeruginosa strain CHL004 (ATCC 55937) to said environment in the presence of phosphate which contains at least stoichiometric equivalent amounts of phosphate to lead.
6309651	Method of and compositions for immunization with the pseudomonas V antigen	A method of inhibiting, moderating or diagnosing Pseudomonas aeruginosa infection is disclosed. In one embodiment, this method comprises inoculating a patient with an effective amount of PcrV antigen.
6310007	7,10,12-trihydroxy-8(E)-octadecenoic acid and derivatives and uses thereof	The compound 7,10,12-trihydroxy-8(E)-octadecenoic acid (TOD) has been produced by bioconversion of ricinoleic acid by Pseudomonas aeruginosa PR3. TOD and derivatives thereof are useful for controlling biological organisms, such as fungi and insects.
6337314	Mammalian-derived peptides for the treatment of microbial infections	The present invention provides compositions useful as antimicrobial agents which include mammalian hemoglobin, the &agr; and &bgr; chains of hemoglobin free of heme, fragments of the &agr; and &bgr; chains that result from cyanogen bromide cleavage of the &agr; and &bgr; chains, and synthetic peptides derived therefrom. The compositions exert antimicrobial activity against both bacteria and fungi that is comparable to known antimicrobial peptides from human neutrophils, cathepsin G and azurocidin. Sensitive organisms include Gram-negative bacteria such as Escherichia coli and Pseudomonas aeruginosa, Gram-positive bacteria such as Staphylococcus aureus and Streptococcus faecalis, and the fungus Candida albicans. Methods for preparing the compositions also are provided.
6342233	Pseudomonas treatment composition and method	A composition and method for treating or preventing infection by Pseudomonas aeruginosa is disclosed. The composition includes a P. aeruginosa pilin peptide modified to prevent oligomerization of the pilin. The method involves administered the composition to a person infected with Pseudomonas are at risk of such infection.
